OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10
2,VT002,3,POOTATUCK,CT0064,13,3,B,1651,0.5,0.5,FSL-FSL-GRV-COS,101.6,1.23,0.18,400,2.33,4,34.85,61.15,4.89,0.01,0.2,0,736.6,1.33,0.15,280,0.78,3.5,35.03,61.47,5.26,0.05,0.2,0,1651,1.38,0.03,600,0.26,1,6.53,92.47,40,0.14,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,VT002,4,GROTON,CT0046,6,4,A,1828.8,0.5,0.5,GR--SL-GR--SL-GRV-LS-GRX-,203.2,1.15,0.13,280,1.45,5,30.69,64.31,26.5,0.01,0.17,0,457.2,1.38,0.09,270,0.48,4,30.91,65.1,38.81,0.09,0.17,0,762,1.45,0.06,270,0.16,3.5,16.09,80.41,40.08,0.17,0.17,0,1828.8,1.55,0.01,350,0.05,1,6.53,92.47,65,0.21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,VT002,6,ADRIAN,MI0028,5,2,A,1524,0.5,0.5,MUCK-S,863.6,0.3,0.35,180,9.88,10,45,45,0,0.01,0.1,0,1524,1.58,0.13,450,3.29,6,1.88,92.11,12.94,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,VT002,12,BELGRADE,MA0076,3,3,B,1524,0.5,0.5,SIL-VFSL-SIL,228.6,1.05,0.21,6.8,1.74,9.5,69.16,21.34,1.01,0.01,0.49,0,1066.8,1.25,0.14,58,0.58,9.5,28.45,62.05,1.2,0.08,0.64,0,1524,1.3,0.17,2.7,0.19,11,68.02,20.98,12.47,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,VT002,18,FREDON,NJ0038,1,3,C,1524,0.5,0.5,FSL-GR--SIL-GRV-S,177.8,1.3,0.14,110,2.33,13.5,20.01,66.49,5.66,0.01,0.32,0,660.4,1.3,0.15,8.4,0.44,13.5,55.94,30.56,16.17,0.1,0.32,0,1524,1.5,0.03,250,0.15,6,1.88,92.11,40,0.17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,VT002,21,HERO,CT0047,1,3,B,1524,0.5,0.5,L-GR--FSL-GRV-COS,228.6,1.25,0.16,53,2.03,9,44.45,46.55,8.88,0.01,0.32,0,685.8,1.42,0.11,68,0.68,9,26.74,64.26,19.55,0.06,0.24,0,1524,1.55,0.02,500,0.23,2.5,6.43,91.07,39.5,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VT003,6,GALWAY,NY0218,4,4,B,838.2,0.5,0.5,STV-SIL-GR--FSL-GRV-SL-UW,254,1.25,0.12,8.4,2.33,12.5,56.59,30.91,40,0.01,0.24,0,609.6,1.35,0.12,67,0.78,11.5,26.01,62.49,17.44,0.05,0.24,0,812.8,1.35,0.07,40,0.26,10.5,23.33,66.17,34.88,0.14,0.24,0,838.2,2.5,0.01,400,0.09,5,25,70,98,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VT004,4,MACOMBER,NY0321,8,3,C,609.59,0.5,0.5,STV-SIL-CN--L-UWB,76.2,1.25,0.13,4.3,2.33,18.5,54.4,27.1,40,0.01,0.24,0,584.2,1.35,0.08,9.2,0.78,18.5,38.54,42.96,50,0.05,0.24,0,609.6,2.5,0.01,800,0.26,5,25,70,98,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,VT004,13,BERKSHIRE,MA0030,2,3,B,1651,0.5,0.5,STV-FSL-FSL-FSL,203.2,1.13,0.11,180,2.03,6.5,27.48,66.03,40,0.01,0.2,0,558.8,1.23,0.12,180,0.68,6.5,27.48,66.03,20.81,0.06,0.32,0,1651,1.45,0.11,130,0.23,5.5,34.3,60.2,23.73,0.15,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,VT004,19,KILLINGTON,VT0097,1,3,D,457.2,0.5,0.5,STV-L-GRV-FSL-UWB,25.4,0.8,0.11,63,3.49,7.5,45.18,47.32,45.89,0.01,0.32,0,431.8,0.8,0.09,160,1.16,5.5,34.3,60.2,47.53,0.02,0.28,0,457.2,2.5,0.01,500,0.39,5,25,70,98,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,VT006,6,ENCHANTED,ME0024,5,4,B,1193.8,0.5,0.5,STV-SIL-CN--FSL-CBX-COS-U,76.2,1.05,0.11,34,0.58,5.5,58.02,36.48,40,0.08,0.15,0,635,1.05,0.12,180,1.45,5.5,34.3,60.2,25.49,0.01,0.1,0,1168.4,1.15,0.02,190,0.29,5.5,3.84,90.66,50.97,0.13,0.1,0,1193.8,2.5,0.01,400,0.1,5,25,70,98,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,VT006,8,HOGBACK,VT0077,5,3,C,406.39,0.5,0.5,STV-FSL-FSL-UWB,50.8,0.8,0.12,160,3.49,7.5,27.18,65.32,40,0.01,0.43,0,381,0.8,0.14,180,1.16,7.5,27.18,65.32,9.48,0.02,0.64,0,406.4,2.5,0.01,350,0.39,5,25,70,98,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,VT007,4,TIOGA,NY0075,6,3,B,1828.8,0.5,0.5,FSL-GR--FSL-GRV-LS,203.2,1.27,0.16,140,2.33,11.5,26.01,62.49,1.22,0.01,0.37,0,914.4,1.3,0.11,62,0.29,11.5,26.01,62.49,14.05,0.13,0.28,0,1828.8,1.4,0.06,100,0.29,9,8.88,82.12,24.66,0.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,VT007,7,PINNEBOG,MI0282,5,3,A,1524,0.5,0.5,MUCK-MPT-MUCK,863.6,0.3,0.35,300,9.88,10,45,45,0,0.01,0.1,0,1270,0.3,0.35,240,9.88,10,45,45,0,0.01,0.1,0,1524,0.3,0.35,300,9.88,10,45,45,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,VT007,8,CASTILE,NY0199,5,3,B,1524,0.5,0.5,GR--L-GRV-SL-GRV-S,330.2,1.25,0.15,48,4.07,12,42.98,45.02,23.22,0.01,0.24,0,863.6,1.4,0.09,66,1.36,9.5,23.54,66.96,35.88,0.02,0.17,0,1524,1.55,0.04,190,0.45,6,1.88,92.11,42.74,0.1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,VT007,10,QUONSET,MA0058,5,3,A,1524,0.5,0.5,CN--SL-CN--LS-CNV-COS,50.8,1.25,0.13,300,2.21,4.5,30.8,64.7,31.03,0.01,0.17,0,508,1.45,0.09,550,0.74,2.5,16.3,81.2,30.01,0.06,0.17,0,1524,1.45,0.02,500,0.25,1,6.53,92.47,51.37,0.14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,VT007,11,TISBURY,CT0053,4,3,B,1524,0.5,0.5,SIL-VFSL-GRV-S,203.2,1.15,0.21,13,2.33,7.5,70.69,21.81,2.23,0.01,0.49,0,660.4,1.45,0.14,100,0.78,7.5,29.08,63.42,2.8,0.05,0.64,0,1524,1.52,0.03,550,0.26,1.5,1.53,96.97,36.99,0.14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,VT007,15,KINGSBURY,NY0170,4,3,D,1524,0.5,0.5,SICL-C-C,203.2,1.17,0.21,1.5,3.49,38.5,54.15,7.35,0,0.01,0.49,0,711.2,1.5,0.13,0.13,0.29,75,17.58,7.42,0,0.13,0.28,0,1524,1.45,0.12,0.23,0.29,62.5,26.24,11.26,0,0.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,VT007,17,SACO,CT0013,3,4,D,1524,0.5,0.5,SIL-VFSL-VFSL-GRV-COS,304.8,1.2,0.23,11,3.78,9.5,69.16,21.34,0,0.01,0.49,0,812.8,1.35,0.16,97,1.26,8.5,28.76,62.74,0,0.02,0.64,0,1219.2,1.35,0.14,77,0.42,8.5,28.76,62.74,0,0.1,0.64,0,1524,1.45,0.02,300,0.14,4.5,3.88,91.62,40,0.18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,VT007,19,RIPPOWAM,CT0065,3,3,C,1651,0.5,0.5,FSL-FSL-GRV-COS,127,1.23,0.2,450,3.2,4,34.85,61.15,4.89,0.01,0.2,0,685.8,1.33,0.16,300,1.07,3.5,35.03,61.47,5.26,0.03,0.2,0,1651,1.38,0.03,600,0.36,1,6.53,92.47,40,0.12,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,VT008,2,BOMOSEEN,VT0095,10,3,C,1651,0.5,0.5,SIL-CNV-FSL-CNV-FSL,203.2,1.15,0.18,20,2.33,10,57.09,32.91,6.82,0.01,0.32,0,685.8,1.45,0.11,61,0.78,10,26.45,63.55,23.58,0.05,0.37,0,1651,1.85,0.09,48,0.26,10,26.45,63.55,35.71,0.14,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,VT008,20,PAXTON,CT0061,3,3,C,1651,0.5,0.5,STV-FSL-FSL-FSL,50.8,1.13,0.08,110,0,7.5,27.18,65.32,40,0.23,0.2,0,660.4,1.48,0.1,90,0,7.5,27.18,65.32,19.72,0.23,0.32,0,1651,1.85,0.1,86,0,7.5,27.18,65.32,23.56,0.23,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,VT009,8,AMENIA,NY0214,5,3,B,1524,0.5,0.5,STV-L-GR--FSL-GR--FSL,203.2,1.25,0.09,21,0,11.5,43.23,45.27,40,0.23,0.24,0,711.2,1.45,0.1,36,0,11.5,26.01,62.49,20.29,0.23,0.24,0,1524,1.83,0.08,30,0,11.5,26.01,62.49,33.45,0.23,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,VT010,10,HUBBARDTON,VT0049,4,3,D,152.39,0.5,0.5,FLV-SIL-FLV-FSL-UWB,76.2,1.25,0.1,7.8,0,10.5,56.77,32.73,45.68,0.23,0.24,0,127,1.25,0.07,41,0,10.5,26.3,63.2,45.68,0.23,0.2,0,152.4,2.5,0.01,700,0,5,25,70,98,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,VT010,17,PITTSTOWN,MA0008,2,3,C,1524,0.5,0.5,STV-SIL-VFSL-CN--VFSL,254,1.15,0.11,19,0,7,58.99,34.01,40,0.23,0.2,0,736.6,1.45,0.1,110,0,7,26.49,66.51,19.45,0.23,0.37,0,1524,1.85,0.09,100,0,7,26.49,66.51,27.54,0.23,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,VT014,19,CLAVERACK,NY0195,2,3,C,1828.8,0.5,0.5,FSL-FS-SICL,203.2,1.35,0.18,350,2.33,6.5,27.48,66.03,1.29,0.01,0.28,0,812.8,1.35,0.04,900,0.29,2,0.63,97.37,1.29,0.13,0.17,0,1828.8,1.27,0.2,0.53,0.29,39.5,53.27,7.23,1.22,0.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,VT015,13,GEORGIA,VT0015,4,3,C,1651,0.5,0.5,L-GRV-FSL-SIL,203.2,1.15,0.17,51,3.2,12.5,41.86,45.64,5.65,0.01,0.32,0,660.4,1.45,0.09,39,1.07,11.5,26.01,62.49,40,0.03,0.32,0,1651,1.7,0.16,4.9,0.36,14,55.62,30.38,10,0.12,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,VT015,15,WALPOLE,CT0015,4,3,C,1651,0.5,0.5,FSL-SL-GRV-COS,177.8,1.13,0.19,400,2.91,4,34.85,61.15,6.81,0.01,0.2,0,609.6,1.42,0.14,350,0.97,4,30.91,65.1,13.17,0.04,0.24,0,1651,1.52,0.03,600,0.32,1,6.53,92.47,40,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,VT016,2,HINCKLEY,MA0100,9,3,A,1651,0.5,0.5,GR--LFS-GR--LS-CB--COS,177.8,1.1,0.11,400,2.62,6,6.72,87.28,22.12,0.01,0.17,0,381,1.3,0.09,500,0.87,3,16.2,80.8,31.38,0.04,0.17,0,1651,1.4,0.02,500,0.29,1.5,6.49,92.01,50.63,0.13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,VT016,3,SUDBURY,MA0027,8,3,B,660.4,0.5,0.5,FSL-SL-GR--COS,330.2,1.25,0.18,400,2.33,4,34.85,61.15,8.88,0.01,0.24,0,482.6,1.3,0.13,300,0.78,4.5,30.8,64.7,12.15,0.05,0.24,0,660.4,1.35,0.04,700,0.26,2,6.46,91.54,12.56,0.14,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,VT016,4,LINWOOD,MI0001,6,3,A,1524,0.5,0.5,MUCK-MUCK-SIL,228.6,0.3,0.35,230,9.88,10,45,45,1.14,0.01,0.1,0,863.6,0.3,0.35,160,9.88,10,45,45,1.14,0.01,0.1,0,1524,1.75,0.18,6.7,3.29,20,53.4,26.6,11.82,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,VT016,6,UDIPSAMMENTS,DE0211,4,1,D,25.39,0.5,0.5,,25.4,0,0,450,0,0,0,0,0,0.23,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,VT016,9,MIDDLEBURY,NY0045,4,3,B,1524,0.5,0.5,L-GR--FSL-S,203.2,1.27,0.17,49,2.91,11.5,43.23,45.27,6.43,0.01,0.28,0,1092.2,1.3,0.13,50,0.97,11.5,26.01,62.49,7.97,0.04,0.28,0,1524,1.4,0.04,260,0.32,5.5,1.47,93.03,21.53,0.12,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,VT016,19,SHEEPSCOT,ME0089,3,4,B,1651,0.5,0.5,FSL-GR--FSL-GRV-S-GRX-COS,76.2,1.15,0.17,450,2.33,4,34.85,61.15,9.55,0.01,0.17,0,304.8,1.35,0.12,450,0.44,3,35.21,61.79,24.86,0.1,0.1,0,635,1.58,0.02,550,0.44,1.5,1.53,96.97,61.09,0.1,0.1,0,1651,1.58,0.01,450,0.15,1.5,6.49,92.01,62.06,0.17,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,VT017,8,WALLKILL,NY0053,3,4,C,1828.8,0.5,0.5,SIL-GR--L-SP-SP,203.2,1.27,0.21,11,4.65,18.5,54.4,27.1,2.47,0.01,0.37,0,609.6,1.3,0.16,15,1.55,21,37.35,41.65,7.97,0.01,0.37,0,812.8,0.5,0.4,280,0.52,10,45,45,0,0.09,0,0,1828.8,0.5,0.4,650,0.17,10,45,45,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,VT017,11,BIRDSALL,MA0033,1,3,D,1524,0.5,0.5,SIL-VFSL-VFSL,228.6,1.05,0.22,9.4,2.91,9.5,69.16,21.34,0,0.01,0.49,0,431.8,1.35,0.15,85,0.97,9.5,28.45,62.05,1.29,0.04,0.64,0,1524,1.35,0.14,56,0.32,9.5,28.45,62.05,1.29,0.12,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,VT017,13,COVINGTON,VT0012,1,3,D,1651,0.5,0.5,SICL-C-C,203.2,1.35,0.2,7.9,5.81,35,47.76,17.24,1.29,0.01,0.49,0,609.6,1.35,0.15,0.23,1.94,75,17.58,7.42,1.29,0.01,0.49,0,1651,1.35,0.13,0.12,0.65,75,17.58,7.42,1.29,0.07,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
